transaction_id,transaction_date,transaction_time,store_location,product_category,product_type,unit_price,quantity,total_sales
1,2024-01-01,07:41:00,Downtown,Coffee,Cold Brew,4.5,2,9.0
2,2024-01-01,16:50:00,Downtown,Merchandise,Reusable Cup,9.0,1,9.0
3,2024-01-01,16:38:00,Uptown Mall,Coffee,Cappuccino,4.0,2,8.0
4,2024-01-01,09:51:00,Downtown,Coffee,Cappuccino,4.0,1,4.0
5,2024-01-01,15:21:00,Uptown Mall,Tea,Herbal Blend,3.1,1,3.1
6,2024-01-01,16:29:00,Riverside,Bakery,Chocolate Chip Cookie,2.5,1,2.5
7,2024-01-01,18:44:00,Uptown Mall,Coffee,Espresso,2.75,1,2.75
8,2024-01-01,11:27:00,Downtown,Coffee,Mocha,4.75,1,4.75
9,2024-01-01,13:40:00,Downtown,Coffee,Espresso,2.75,1,2.75
10,2024-01-01,15:26:00,Uptown Mall,Bakery,Chocolate Chip Cookie,2.5,1,2.5
11,2024-01-01,09:40:00,Downtown,Coffee,Cold Brew,4.5,1,4.5
12,2024-01-01,06:28:00,Riverside,Coffee,Cold Brew,4.5,1,4.5
13,2024-01-01,13:34:00,Downtown,Bakery,Chocolate Chip Cookie,2.5,1,2.5
14,2024-01-02,17:33:00,Uptown Mall,Tea,Green Tea,3.0,1,3.0
15,2024-01-02,13:36:00,Downtown,Tea,Earl Grey,3.0,1,3.0
16,2024-01-02,09:24:00,Uptown Mall,Coffee,Espresso,2.75,1,2.75
17,2024-01-02,06:26:00,Downtown,Coffee,Cold Brew,4.5,1,4.5
18,2024-01-02,19:39:00,Downtown,Tea,Earl Grey,3.0,1,3.0
19,2024-01-02,08:46:00,Downtown,Bakery,Blueberry Muffin,3.25,1,3.25
20,2024-01-02,18:30:00,Downtown,Coffee,Cold Brew,4.5,1,4.5
21,2024-01-02,12:41:00,Downtown,Tea,Chai Latte,4.1,1,4.1
22,2024-01-02,10:07:00,Uptown Mall,Coffee,Americano,3.25,1,3.25
23,2024-01-02,15:15:00,Uptown Mall,Merchandise,Ground Coffee Bag,14.5,1,14.5
24,2024-01-02,16:16:00,Downtown,Bakery,Bagel,2.75,1,2.75
25,2024-01-02,12:48:00,Downtown,Merchandise,12oz Mug,12.0,1,12.0
26,2024-01-02,06:45:00,Riverside,Coffee,Americano,3.25,2,6.5
27,2024-01-02,14:37:00,Riverside,Coffee,Latte,4.25,1,4.25
28,2024-01-03,06:39:00,Downtown,Coffee,Cold Brew,4.5,1,4.5
29,2024-01-03,17:10:00,Uptown Mall,Coffee,Espresso,2.75,1,2.75
30,2024-01-03,10:09:00,Downtown,Tea,Chai Latte,4.1,1,4.1
31,2024-01-03,06:04:00,Riverside,Coffee,Mocha,4.75,1,4.75
32,2024-01-03,19:48:00,Riverside,Coffee,Cappuccino,4.0,1,4.0
33,2024-01-03,17:26:00,Downtown,Coffee,Latte,4.25,1,4.25
34,2024-01-03,18:18:00,Riverside,Bakery,Croissant,3.5,1,3.5
35,2024-01-03,09:39:00,Riverside,Tea,Green Tea,3.0,1,3.0
36,2024-01-03,07:14:00,Downtown,Bakery,Blueberry Muffin,3.25,2,6.5
37,2024-01-03,10:49:00,Uptown Mall,Tea,Green Tea,3.0,1,3.0
38,2024-01-03,19:54:00,Riverside,Coffee,Latte,4.25,1,4.25
39,2024-01-03,13:02:00,Downtown,Merchandise,Ground Coffee Bag,14.5,1,14.5
40,2024-01-03,18:13:00,Uptown Mall,Merchandise,12oz Mug,12.0,1,12.0
41,2024-01-04,10:24:00,Riverside,Coffee,Cappuccino,4.0,1,4.0
42,2024-01-04,11:15:00,Uptown Mall,Coffee,Cappuccino,4.0,1,4.0
43,2024-01-04,07:44:00,Downtown,Coffee,Espresso,2.75,2,5.5
44,2024-01-04,06:11:00,Downtown,Tea,Green Tea,3.0,2,6.0
45,2024-01-04,19:56:00,Downtown,Bakery,Blueberry Muffin,3.25,1,3.25
46,2024-01-04,06:40:00,Downtown,Coffee,Espresso,2.75,1,2.75
47,2024-01-04,15:51:00,Downtown,Coffee,Mocha,4.75,1,4.75
48,2024-01-04,17:07:00,Downtown,Bakery,Bagel,2.75,1,2.75
49,2024-01-04,11:30:00,Riverside,Merchandise,12oz Mug,12.0,1,12.0
50,2024-01-04,19:55:00,Downtown,Merchandise,Reusable Cup,9.0,1,9.0
51,2024-01-04,14:44:00,Downtown,Tea,Green Tea,3.0,1,3.0
52,2024-01-04,08:55:00,Uptown Mall,Merchandise,Ground Coffee Bag,14.5,1,14.5
53,2024-01-04,16:17:00,Downtown,Coffee,Americano,3.25,1,3.25
54,2024-01-04,10:31:00,Riverside,Bakery,Bagel,2.75,1,2.75
55,2024-01-04,14:55:00,Downtown,Bakery,Bagel,2.75,1,2.75
56,2024-01-04,09:27:00,Downtown,Tea,Chai Latte,4.1,2,8.2
57,2024-01-04,16:52:00,Downtown,Coffee,Mocha,4.75,2,9.5
58,2024-01-04,08:49:00,Downtown,Tea,Green Tea,3.0,1,3.0
59,2024-01-04,18:34:00,Downtown,Coffee,Mocha,4.75,1,4.75
60,2024-01-04,15:03:00,Downtown,Coffee,Espresso,2.75,1,2.75
61,2024-01-04,14:49:00,Downtown,Coffee,Cappuccino,4.0,1,4.0
62,2024-01-04,17:51:00,Downtown,Coffee,Latte,4.25,2,8.5
63,2024-01-05,14:34:00,Downtown,Coffee,Latte,4.25,1,4.25
64,2024-01-05,11:05:00,Downtown,Coffee,Espresso,2.75,1,2.75
65,2024-01-05,15:05:00,Uptown Mall,Coffee,Mocha,4.75,2,9.5
66,2024-01-05,19:37:00,Uptown Mall,Merchandise,12oz Mug,12.0,2,24.0
67,2024-01-05,17:32:00,Riverside,Bakery,Chocolate Chip Cookie,2.5,1,2.5
68,2024-01-05,12:14:00,Riverside,Bakery,Bagel,2.75,1,2.75
69,2024-01-05,08:25:00,Downtown,Coffee,Latte,4.25,1,4.25
70,2024-01-05,11:10:00,Downtown,Coffee,Americano,3.25,1,3.25
71,2024-01-05,15:54:00,Riverside,Coffee,Cold Brew,4.5,2,9.0
72,2024-01-05,13:12:00,Riverside,Coffee,Cappuccino,4.0,2,8.0
73,2024-01-05,07:17:00,Riverside,Coffee,Cold Brew,4.5,1,4.5
74,2024-01-05,15:57:00,Downtown,Coffee,Americano,3.25,2,6.5
75,2024-01-05,14:05:00,Uptown Mall,Coffee,Americano,3.25,1,3.25
76,2024-01-05,19:26:00,Riverside,Coffee,Mocha,4.75,2,9.5
77,2024-01-05,07:15:00,Riverside,Bakery,Bagel,2.75,2,5.5
78,2024-01-05,14:00:00,Riverside,Coffee,Americano,3.25,1,3.25
79,2024-01-05,16:45:00,Uptown Mall,Coffee,Americano,3.25,1,3.25
80,2024-01-06,17:07:00,Downtown,Tea,Chai Latte,4.1,2,8.2
81,2024-01-06,15:12:00,Uptown Mall,Coffee,Cappuccino,4.0,1,4.0
82,2024-01-06,17:45:00,Downtown,Coffee,Cold Brew,4.5,2,9.0
83,2024-01-06,10:05:00,Downtown,Coffee,Americano,3.25,1,3.25
84,2024-01-06,07:43:00,Riverside,Coffee,Mocha,4.75,1,4.75
85,2024-01-06,16:39:00,Downtown,Merchandise,Ground Coffee Bag,14.5,1,14.5
86,2024-01-06,11:07:00,Uptown Mall,Bakery,Bagel,2.75,2,5.5
87,2024-01-06,07:32:00,Riverside,Tea,Green Tea,3.0,1,3.0
88,2024-01-06,12:17:00,Riverside,Coffee,Espresso,2.75,2,5.5
89,2024-01-06,10:32:00,Uptown Mall,Coffee,Espresso,2.75,2,5.5
90,2024-01-06,15:17:00,Uptown Mall,Merchandise,12oz Mug,12.0,2,24.0
91,2024-01-06,19:37:00,Riverside,Coffee,Americano,3.25,1,3.25
92,2024-01-06,09:14:00,Downtown,Bakery,Croissant,3.5,1,3.5
93,2024-01-06,08:54:00,Riverside,Bakery,Bagel,2.75,2,5.5
94,2024-01-06,17:36:00,Uptown Mall,Coffee,Espresso,2.75,1,2.75
95,2024-01-06,17:58:00,Uptown Mall,Coffee,Latte,4.25,1,4.25
96,2024-01-06,17:50:00,Downtown,Bakery,Bagel,2.75,1,2.75
97,2024-01-06,07:32:00,Riverside,Coffee,Espresso,2.75,1,2.75
98,2024-01-06,17:44:00,Downtown,Bakery,Chocolate Chip Cookie,2.5,1,2.5
99,2024-01-06,15:30:00,Riverside,Coffee,Espresso,2.75,3,8.25
100,2024-01-06,09:53:00,Riverside,Tea,Green Tea,3.0,1,3.0
101,2024-01-06,07:35:00,Uptown Mall,Coffee,Cappuccino,4.0,1,4.0
102,2024-01-06,18:34:00,Downtown,Bakery,Blueberry Muffin,3.25,1,3.25
103,2024-01-07,13:41:00,Riverside,Coffee,Mocha,4.75,1,4.75
104,2024-01-07,08:54:00,Downtown,Merchandise,12oz Mug,12.0,1,12.0
105,2024-01-07,19:16:00,Downtown,Coffee,Cappuccino,4.0,1,4.0
106,2024-01-07,14:09:00,Downtown,Coffee,Cold Brew,4.5,1,4.5
107,2024-01-07,14:19:00,Downtown,Coffee,Cappuccino,4.0,1,4.0
108,2024-01-07,12:21:00,Riverside,Coffee,Cappuccino,4.0,1,4.0
109,2024-01-07,14:39:00,Downtown,Bakery,Chocolate Chip Cookie,2.5,1,2.5
110,2024-01-07,13:31:00,Riverside,Bakery,Blueberry Muffin,3.25,1,3.25
111,2024-01-07,13:53:00,Uptown Mall,Coffee,Cappuccino,4.0,1,4.0
112,2024-01-07,13:31:00,Downtown,Coffee,Cold Brew,4.5,1,4.5
113,2024-01-07,06:04:00,Uptown Mall,Coffee,Mocha,4.75,1,4.75
114,2024-01-07,09:43:00,Downtown,Coffee,Espresso,2.75,1,2.75
115,2024-01-07,12:49:00,Uptown Mall,Bakery,Blueberry Muffin,3.25,1,3.25
116,2024-01-07,08:30:00,Downtown,Coffee,Cold Brew,4.5,1,4.5
117,2024-01-07,12:46:00,Downtown,Merchandise,Ground Coffee Bag,14.5,3,43.5
118,2024-01-07,15:20:00,Riverside,Tea,Green Tea,3.0,1,3.0
119,2024-01-07,12:09:00,Downtown,Coffee,Espresso,2.75,1,2.75
120,2024-01-07,19:48:00,Uptown Mall,Bakery,Bagel,2.75,1,2.75
121,2024-01-08,12:50:00,Downtown,Coffee,Americano,3.25,1,3.25
122,2024-01-08,18:09:00,Downtown,Coffee,Cold Brew,4.5,1,4.5
123,2024-01-08,06:11:00,Downtown,Merchandise,Gift Card,25.0,1,25.0
124,2024-01-08,06:05:00,Downtown,Tea,Chai Latte,4.1,1,4.1
125,2024-01-08,14:47:00,Riverside,Bakery,Bagel,2.75,1,2.75
126,2024-01-08,16:32:00,Downtown,Coffee,Cold Brew,4.5,1,4.5
127,2024-01-08,12:22:00,Uptown Mall,Bakery,Blueberry Muffin,3.25,1,3.25
128,2024-01-08,07:51:00,Downtown,Merchandise,Reusable Cup,9.0,1,9.0
129,2024-01-08,13:59:00,Downtown,Coffee,Mocha,4.75,1,4.75
130,2024-01-08,06:20:00,Downtown,Tea,Herbal Blend,3.1,1,3.1
131,2024-01-08,18:08:00,Downtown,Coffee,Americano,3.25,1,3.25
132,2024-01-08,08:42:00,Riverside,Coffee,Americano,3.25,1,3.25
133,2024-01-08,14:39:00,Uptown Mall,Merchandise,Gift Card,25.0,1,25.0
134,2024-01-08,14:46:00,Uptown Mall,Bakery,Bagel,2.75,2,5.5
135,2024-01-08,16:57:00,Riverside,Coffee,Americano,3.25,1,3.25
136,2024-01-08,08:17:00,Riverside,Merchandise,Reusable Cup,9.0,3,27.0
137,2024-01-08,10:30:00,Downtown,Bakery,Chocolate Chip Cookie,2.5,1,2.5
138,2024-01-08,18:27:00,Uptown Mall,Coffee,Cold Brew,4.5,3,13.5
139,2024-01-08,17:32:00,Riverside,Coffee,Espresso,2.75,1,2.75
140,2024-01-08,09:02:00,Downtown,Merchandise,Gift Card,25.0,2,50.0
141,2024-01-08,07:39:00,Riverside,Coffee,Cappuccino,4.0,1,4.0
142,2024-01-08,11:48:00,Downtown,Bakery,Bagel,2.75,1,2.75
143,2024-01-08,14:57:00,Downtown,Coffee,Espresso,2.75,2,5.5
144,2024-01-09,06:36:00,Uptown Mall,Tea,Earl Grey,3.0,1,3.0
145,2024-01-09,13:20:00,Uptown Mall,Coffee,Cold Brew,4.5,2,9.0
146,2024-01-09,14:32:00,Downtown,Coffee,Cold Brew,4.5,1,4.5
147,2024-01-09,15:20:00,Riverside,Coffee,Mocha,4.75,1,4.75
